regime,model,n_features,mean,std,count
fixed_n,random_forest,10,2.254198539059442,0.1512508391358508,5
fixed_n,random_forest,20,2.4890611283320103,0.15845802397363684,5
fixed_n,random_forest,50,2.562031968298954,0.14393055402283267,5
fixed_n,random_forest,100,2.5028437668233074,0.15069649171415275,5
fixed_n,random_forest,200,2.482881950729391,0.13479876557586928,5
fixed_n,random_forest,500,2.413076852964887,0.13802726162359638,5
fixed_n,random_forest,1000,2.3571767223958657,0.14285522440774093,5
fixed_n,random_forest,2000,2.3188617923887045,0.14840787201211653,5
fixed_n,random_forest,5000,2.2968716816072536,0.15441935313066205,5
fixed_n,random_forest,10000,2.2714113559767943,0.14179789568313195,5
fixed_n,ridge,10,3.721299473524394,0.5460503591946801,5
fixed_n,ridge,20,3.52975322150686,0.5391632518372708,5
fixed_n,ridge,50,3.4050749661324984,0.6101089280459774,5
fixed_n,ridge,100,2.9389499236685537,0.05230115977825817,5
fixed_n,ridge,200,2.6790278402807717,0.16234891338928992,5
fixed_n,ridge,500,2.3339059665732953,0.07217510859527815,5
fixed_n,ridge,1000,2.163139444314993,0.0958420903117637,5
fixed_n,ridge,2000,2.090467640245746,0.10151970252282926,5
fixed_n,ridge,5000,2.0224114817664223,0.09719177369403846,5
fixed_n,ridge,10000,1.9579243245968871,0.09792043157845921,5
fixed_n,tabicl,10,1.1910875622783896,0.06312358393095033,5
fixed_n,tabicl,20,1.2665823402484775,0.08208600946672276,5
fixed_n,tabicl,50,1.3412049175668923,0.11157267228107358,5
fixed_n,tabicl,100,1.469238346985845,0.05345938758143397,5
fixed_n,tabicl,200,1.4995853454585626,0.06973410880345353,5
fixed_n,tabicl,500,1.509729395725315,0.0860030212795268,5
fixed_n,tabicl,1000,1.4708905159332593,0.08836403236533137,5
fixed_n,tabicl,2000,1.4262901759241644,0.05313605433894912,5
fixed_n,tabicl,5000,1.2970209869908413,0.04900224543967379,5
fixed_n,tabicl,10000,1.2703788925785415,0.04849027348500451,5
fixed_n,xgboost,10,1.9680209819578216,0.12311022898394251,5
fixed_n,xgboost,20,2.0384499135069474,0.13541459618242468,5
fixed_n,xgboost,50,2.1426165982318572,0.1199608572983373,5
fixed_n,xgboost,100,2.2304060349254335,0.12487568264482075,5
fixed_n,xgboost,200,2.2897879503900316,0.21039298971690717,5
fixed_n,xgboost,500,2.2618530590678114,0.06693463963520009,5
fixed_n,xgboost,1000,2.2192657354452416,0.07721217118335168,5
fixed_n,xgboost,2000,2.182666554373461,0.043501406870028056,5
fixed_n,xgboost,5000,2.2371258032744583,0.15770525984125966,5
fixed_n,xgboost,10000,2.1708241933095573,0.08102496408114945,5
scaling_n,random_forest,10,3.313374044115384,0.11194045201570836,5
scaling_n,random_forest,20,3.426883216463626,0.16073315186610612,5
scaling_n,random_forest,50,3.4880874102471977,0.11614028035033284,5
scaling_n,random_forest,100,3.2335310861568245,0.18047828315161352,5
scaling_n,random_forest,200,2.8688390551695737,0.077156416329615,5
scaling_n,random_forest,500,2.413076852964887,0.13802726162359638,5
scaling_n,random_forest,1000,2.357176722395866,0.14285522440774095,5
scaling_n,random_forest,2000,2.3188617923887045,0.14840787201211653,5
scaling_n,random_forest,5000,2.2968716816072536,0.15441935313066196,5
scaling_n,random_forest,10000,2.271411355976794,0.14179789568313203,5
scaling_n,ridge,10,4.096228424870408,0.16220154582087024,5
scaling_n,ridge,20,3.7766566336942544,0.4612110999395942,5
scaling_n,ridge,50,3.519451173033848,0.32655211000508333,5
scaling_n,ridge,100,3.635633741427463,0.5504266199189817,5
scaling_n,ridge,200,2.7968705424845313,0.13576139727142483,5
scaling_n,ridge,500,2.3339059665732953,0.07217510859527815,5
scaling_n,ridge,1000,2.163139444314993,0.0958420903117637,5
scaling_n,ridge,2000,2.090467640245746,0.10151970252282926,5
scaling_n,ridge,5000,2.0224114817664223,0.09719177369403846,5
scaling_n,ridge,10000,1.9579243245968871,0.09792043157845921,5
scaling_n,tabicl,10,2.204019112886063,0.0932783279761062,5
scaling_n,tabicl,20,2.3215896463175105,0.21557249561741532,5
scaling_n,tabicl,50,2.4984929624010364,0.29224645133627875,5
scaling_n,tabicl,100,2.1424232865130235,0.12553063551490798,5
scaling_n,tabicl,200,1.7891972256710016,0.02038295395383828,5
scaling_n,tabicl,500,1.509729395725315,0.0860030212795268,5
scaling_n,tabicl,1000,1.4708905159332593,0.08836403236533137,5
scaling_n,tabicl,2000,1.4262901759241644,0.05313605433894912,5
scaling_n,tabicl,5000,1.2970209869908413,0.04900224543967379,5
scaling_n,tabicl,10000,1.2703788925785415,0.04849027348500451,5
scaling_n,xgboost,10,3.3061521133216702,0.06783865036712682,5
scaling_n,xgboost,20,3.3417215551265422,0.08313762714523001,5
scaling_n,xgboost,50,3.4933402988155797,0.2473785763774031,5
scaling_n,xgboost,100,3.2026316850738596,0.24571799163029334,5
scaling_n,xgboost,200,2.7405976345319987,0.13616744107395884,5
scaling_n,xgboost,500,2.2618530590678114,0.06693463963520009,5
scaling_n,xgboost,1000,2.2192657354452416,0.07721217118335168,5
scaling_n,xgboost,2000,2.182666554373461,0.043501406870028056,5
scaling_n,xgboost,5000,2.2371258032744583,0.15770525984125966,5
scaling_n,xgboost,10000,2.1708241933095573,0.08102496408114945,5
