regime,model,n_features,mean,std,count
fixed_n,nori,10,0.9493772409129949,0.004766126059770487,5
fixed_n,nori,20,0.9500936753757463,0.004524153011412098,5
fixed_n,nori,50,0.9487068654246118,0.004939812567097137,5
fixed_n,nori,100,0.9468504146723996,0.004983567159818265,5
fixed_n,nori,200,0.9450634492315503,0.006639129598100018,5
fixed_n,nori,500,0.9277158792648535,0.005185456066446409,5
fixed_n,nori,1000,0.930262645479828,0.0071907350749742215,5
fixed_n,nori,2000,0.9297448764674987,0.004945571588436116,5
fixed_n,nori,5000,0.932727569960244,0.005075471278876622,5
fixed_n,nori,10000,0.9316423711375524,0.0056933008436292985,5
fixed_n,random_forest,10,0.7750749944231995,0.020957890630397383,5
fixed_n,random_forest,20,0.7258427915073602,0.02341286655714722,5
fixed_n,random_forest,50,0.7094446603343953,0.022792151459598266,5
fixed_n,random_forest,100,0.7228686376167811,0.020220182140763363,5
fixed_n,random_forest,200,0.7271966718799734,0.018808750888366404,5
fixed_n,random_forest,500,0.7422050479323924,0.02046061580389372,5
fixed_n,random_forest,1000,0.7539419005147184,0.021602088776352658,5
fixed_n,random_forest,2000,0.7618353894576704,0.02254831767775586,5
fixed_n,random_forest,5000,0.7662515256456913,0.023943155858121734,5
fixed_n,random_forest,10000,0.7714985068011387,0.02114528060798871,5
fixed_n,ridge,10,0.3820853094150641,0.15122071023172573,5
fixed_n,ridge,20,0.4393653167943346,0.16749483376744995,5
fixed_n,ridge,50,0.4741382949533464,0.18577847227566494,5
fixed_n,ridge,100,0.6167545994982117,0.02995617064568529,5
fixed_n,ridge,200,0.6790750401164342,0.05717511893980354,5
fixed_n,ridge,500,0.7578989583946034,0.02617914142721308,5
fixed_n,ridge,1000,0.7920758740604424,0.024073375714354275,5
fixed_n,ridge,2000,0.8060870756651524,0.020217322751723003,5
fixed_n,ridge,5000,0.8184237910230834,0.019723203083338005,5
fixed_n,ridge,10000,0.829798394580572,0.019085525199876958,5
fixed_n,tabicl,10,0.9370246850681813,0.006863384913330373,5
fixed_n,tabicl,20,0.9287628979847282,0.009136932753478785,5
fixed_n,tabicl,50,0.9198711743518588,0.013618695724445639,5
fixed_n,tabicl,100,0.9044034620686032,0.005549225529320622,5
fixed_n,tabicl,200,0.9001558327293224,0.010326927475540265,5
fixed_n,tabicl,500,0.8986788979430844,0.012797177092379623,5
fixed_n,tabicl,1000,0.9037461897621574,0.013150415945250135,5
fixed_n,tabicl,2000,0.9098820229237617,0.005935392361540661,5
fixed_n,tabicl,5000,0.9254579135441036,0.005248480647053063,5
fixed_n,tabicl,10000,0.9284342950169453,0.005929504069891413,5
fixed_n,tabpfn,10,0.9325947677298909,0.004581393089247334,5
fixed_n,tabpfn,20,0.9331977527788544,0.005747277347399637,5
fixed_n,tabpfn,50,0.929757149496276,0.0021092722516434024,5
fixed_n,tabpfn,100,0.9278095100916737,0.005973028979151989,5
fixed_n,tabpfn,200,0.9280430031213424,0.00987338382221344,5
fixed_n,tabpfn,500,0.8967042768983011,0.01831988582369637,5
fixed_n,tabpfn,1000,0.9069835876766679,0.0046303568884793955,5
fixed_n,tabpfn,2000,0.9144600432703005,0.00550107083330509,5
fixed_n,tabpfn,5000,0.9197813198589516,0.004702086656065707,5
fixed_n,tabpfn,10000,0.9203433977994997,0.0030685251020947132,5
fixed_n,xgboost,10,0.8285809737475139,0.01459030227519422,5
fixed_n,xgboost,20,0.816037500488745,0.017160931951244303,5
fixed_n,xgboost,50,0.7968126103347446,0.01568077148781592,5
fixed_n,xgboost,100,0.7798513035195995,0.016232531663814616,5
fixed_n,xgboost,200,0.7672871055514088,0.03501472151194464,5
fixed_n,xgboost,500,0.7735382232681283,0.008604445233878627,5
fixed_n,xgboost,1000,0.7817738653669597,0.014735601769699748,5
fixed_n,xgboost,2000,0.7890527861338004,0.007344863322955681,5
fixed_n,xgboost,5000,0.7777486960197935,0.02951474251332094,5
fixed_n,xgboost,10000,0.7913811517726398,0.010858613077522823,5
scaling_n,nori,10,0.8625836372586638,0.04138543568331924,5
scaling_n,nori,20,0.8613320834982525,0.048579625727148044,5
scaling_n,nori,50,0.8434266170415512,0.05449692194559683,5
scaling_n,nori,100,0.9034708693975,0.024182292239711523,5
scaling_n,nori,200,0.9292343486509109,0.010531052965637767,5
scaling_n,nori,500,0.9277158792648535,0.005185456066446409,5
scaling_n,nori,1000,0.930262645479828,0.0071907350749742215,5
scaling_n,nori,2000,0.9297448764674987,0.004945571588436116,5
scaling_n,nori,5000,0.932727569960244,0.005075471278876622,5
scaling_n,nori,10000,0.9316423711375524,0.0056933008436292985,5
scaling_n,random_forest,10,0.5178927082916782,0.02194010663819142,5
scaling_n,random_forest,20,0.48396666679606754,0.0386586914201359,5
scaling_n,random_forest,50,0.46598462948510255,0.014636459394510538,5
scaling_n,random_forest,100,0.5679630132557428,0.02969057897763815,5
scaling_n,random_forest,200,0.6602981477648997,0.01698603097740319,5
scaling_n,random_forest,500,0.7422050479323924,0.020460615803893738,5
scaling_n,random_forest,1000,0.7539419005147184,0.021602088776352658,5
scaling_n,random_forest,2000,0.7618353894576704,0.02254831767775586,5
scaling_n,random_forest,5000,0.7662515256456913,0.023943155858121713,5
scaling_n,random_forest,10000,0.7714985068011387,0.0211452806079887,5
scaling_n,ridge,10,0.2598917086474955,0.08382307386720725,5
scaling_n,ridge,20,0.36264378721024065,0.17189686992004635,5
scaling_n,ridge,50,0.44889913213455823,0.1271153891650037,5
scaling_n,ridge,100,0.4476519406728536,0.1448160602041929,5
scaling_n,ridge,200,0.6769438202345577,0.02661548784981412,5
scaling_n,ridge,500,0.7578989583946034,0.02617914142721308,5
scaling_n,ridge,1000,0.7920758740604424,0.024073375714354275,5
scaling_n,ridge,2000,0.8060870756651524,0.020217322751723003,5
scaling_n,ridge,5000,0.8184237910230834,0.019723203083338005,5
scaling_n,ridge,10000,0.829798394580572,0.019085525199876958,5
scaling_n,tabicl,10,0.7856860412541076,0.02577736052151818,5
scaling_n,tabicl,20,0.7609262372576782,0.04893376035809038,5
scaling_n,tabicl,50,0.7227974540359244,0.06537794076012787,5
scaling_n,tabicl,100,0.8083189774595766,0.034062088594256065,5
scaling_n,tabicl,200,0.8676637119584182,0.009418919693547585,5
scaling_n,tabicl,500,0.8986788979430844,0.012797177092379623,5
scaling_n,tabicl,1000,0.9037461897621574,0.013150415945250135,5
scaling_n,tabicl,2000,0.9098820229237617,0.005935392361540661,5
scaling_n,tabicl,5000,0.9254579135441036,0.005248480647053063,5
scaling_n,tabicl,10000,0.9284342950169453,0.005929504069891413,5
scaling_n,tabpfn,10,0.7938140176537518,0.04810219649311212,5
scaling_n,tabpfn,20,0.7987330809866235,0.04023232407530681,5
scaling_n,tabpfn,50,0.7761313622276919,0.04607548086154194,5
scaling_n,tabpfn,100,0.8644061312674822,0.02863917039440649,5
scaling_n,tabpfn,200,0.899232980216577,0.019667649672535866,5
scaling_n,tabpfn,500,0.8967042768983011,0.01831988582369637,5
scaling_n,tabpfn,1000,0.9069835876766679,0.0046303568884793955,5
scaling_n,tabpfn,2000,0.9144600432703005,0.00550107083330509,5
scaling_n,tabpfn,5000,0.9197813198589516,0.004702086656065707,5
scaling_n,tabpfn,10000,0.9203433977994997,0.0030685251020947132,5
scaling_n,xgboost,10,0.5185396987638063,0.04321193775929672,5
scaling_n,xgboost,20,0.5090679924738153,0.029737087168019864,5
scaling_n,xgboost,50,0.4614014437980167,0.08136295709418864,5
scaling_n,xgboost,100,0.5742402093637429,0.059440881885998186,5
scaling_n,xgboost,200,0.688358405796514,0.04442766417922226,5
scaling_n,xgboost,500,0.7735382232681283,0.008604445233878627,5
